title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Russia Dissatisfied With MH17 Report by Dutch Safety Board - The New York Times,The Associated Press,www.nytimes.com,2015-26,2015-07-02,2015-07,02 Jul 15 00:00 UTC,en,1,neutral,4,6,10,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/aponline/2015/07/02/world/europe/ap-eu-russia-mh17.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
Russia Dissatisfied With MH17 Report by Dutch Safety Board,,www.nytimes.com,2015-26,2015-07-02,2015-07,02 Jul 15 00:00 UTC,en,1,neutral,4,0,4,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/aponline/2015/07/02/world/europe/ap-eu-russia-mh17.html?ref=world,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
Latest from Iran,,presstv.ir,2015-26,2015-07-02,2015-07,02 Jul 15 00:07 UTC,en,1,neutral,44,39,83,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.presstv.ir/Detail/2015/07/02/418394/US-Russia-war-Ukraine--,0,0,0,0,0,1,0,1,1,Tehran,Iran,0,,sergep
Ukraine To Start Debt Restructuring Talks Next Week,,rferl.org,2015-26,2015-07-02,2015-07,02 Jul 15 00:15 UTC,en,1,neutral,6,15,21,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.rferl.org/content/ukraine-start-debt-talks-next-week/27105424.html,0,0,0,0,0,1,1,0,0,Prague,Czech Republic,0,,boyaryntseva
"Russia, US Work To Restore 'Normalcy' in Their Relations: Russian Foreign",,ibtimes.com,2015-26,2015-07-02,2015-07,02 Jul 15 00:19 UTC,en,1,neutral,15,14,29,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.ibtimes.com/russia-us-work-restore-normalcy-their-relations-russian-foreign-minister-1992971,0,0,0,0,0,1,0,0,0,New York,USA,0,,sergep
Radiation spikes after wildfire in Chernobyl exclusion zone,,rt.com,2015-26,2015-07-02,2015-07,02 Jul 15 00:23 UTC,en,1,negative,2435,277,2712,Other,Other,Інші теми  (аналітичні та репортажні),http://rt.com/news/271081-chernobyl-wildfire-radiation-ukraine/,0,0,0,0,0,1,1,1,1,Moscow,Russia,0,,boyaryntseva
Southern Flank,,pjmedia.com,2015-26,2015-07-02,2015-07,02 Jul 15 00:29 UTC,en,1,neutral,75,31,106,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://pjmedia.com/richardfernandez/2015/07/01/southern-flank/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,Ira.Kolomiets
Dutch Safety Board completes confidential draft report on MH17,,themalaysianinsider.com,2015-26,2015-07-02,2015-07,02 Jul 15 00:47 UTC,en,1,neutral,3,9,12,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.themalaysianinsider.com/malaysia/article/dutch-safety-board-completes-confidential-draft-report-on-mh17,0,0,0,0,0,1,1,0,0,Kuala Lumpur,Malaysia,0,,boyaryntseva
Conference on Polish-Ukrainian relations for the 21st century,,thenewfederalist.eu,2015-26,2015-07-02,2015-07,02 Jul 15 00:59 UTC,en,1,neutral,8,4,12,Ukrainian international relations,Ukrainian international relations,Українські міжнародні відносини,http://www.thenewfederalist.eu/chris-powers-20150701,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
New envoy appointed to Ukraine,,dawn.com,2015-26,2015-07-02,2015-07,02 Jul 15 01:41 UTC,en,1,neutral,25,0,25,Ukrainian international relations,Ukrainian international relations,Українські міжнародні відносини,http://www.dawn.com/news/1191769/new-envoy-appointed-to-ukraine,0,0,0,0,0,1,1,0,0,Karachi,Pakistan,0,,sergep
