title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Russia Vetoes Security Council Proposal on MH17 Tribunal - The New York Times,The Associated Press,www.nytimes.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:00 UTC,en,1,neutral,16,22,38,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/aponline/2015/07/29/world/europe/ap-un-united-nations-mh17-crash.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
Putin: Russia Will Oppose International Tribunal for MH17 ...,,www.nytimes.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:00 UTC,en,1,neutral,3,4,7,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/aponline/2015/07/29/world/europe/ap-eu-russia-mh17.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
Debris Is Thought to Come From Malaysia Airlines Flight 370,,www.nytimes.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:00 UTC,en,1,neutral,3206,2542,5748,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/2015/07/30/world/asia/malaysia-airlines-flight-370-search.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
Everton overtake Napoli in the race for Dinamo Kiev star,,forzaitalianfootball.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:06 UTC,en,1,neutral,59,22,81,Sport,Sport,Спорт,http://forzaitalianfootball.com/2015/07/everton-overtake-napoli-in-the-race-for-dinamo-kiev-star/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,vladimyr.lvr
Cristiano Ronaldo candidate for best goal of the season,,realmadridnews.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:08 UTC,en,1,not determined,57,8,65,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.realmadridnews.com/cristiano-ronaldo-candidate-for-best-goal-of-the-season-13781,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,
Ukraine to cut gas imports from Europe by 28 percent in July compared to June,,kyivpost.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:15 UTC,en,1,neutral,0,2,2,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.kyivpost.com/content/ukraine/ukraine-to-cut-gas-imports-from-europe-by-28-percent-in-july-compared-to-june-394501.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,boyaryntseva
Soccer-Shakhtar field midfielder despite threat of doping ...,,sports.yahoo.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:16 UTC,en,1,neutral,1,33,34,Sport,Sport,Спорт,http://sports.yahoo.com/news/soccer-shakhtar-field-midfielder-despite-threat-doping-ban-071314511--sow.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,vladimyr.lvr
Soccer-Shakhtar field midfielder despite threat of doping ban,,news.yahoo.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:23 UTC,en,1,neutral,1,5,6,Sport,Sport,Спорт,http://news.yahoo.com/soccer-shakhtar-field-midfielder-despite-threat-doping-ban-071314511--sow.html,0,0,0,0,0,1,1,0,0,Sunnyvale,USA,0,,vladimyr.lvr
Shakhtar field midfielder despite threat of doping ban,,au.sports.yahoo.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:35 UTC,en,1,neutral,0,1,1,Sport,Sport,Спорт,https://au.sports.yahoo.com/football/a/29111801/shakhtar-field-midfielder-despite-threat-of-doping-ban/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
Van Persie makes Fenerbahce debut following move from Man Utd,,turkish-football.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:37 UTC,en,1,neutral,0,1,1,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.turkish-football.com/van-persie-makes-fenerbahce-debut-following-move-from-man-utd/,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,The Debut Van Persie against Shakhtar Donetsk,greenpriority2013
Dacic urges all sides to ensire safety to OSCE,,b92.net,2015-30,2015-07-29,2015-07,29 Jul 15 00:42 UTC,en,1,neutral,2,7,9,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.b92.net/eng/news/world.php?yyyy=2015&mm=07&dd=29&nav_id=94913,0,0,0,0,0,1,1,0,0,Belgrade,Serbia,0,,boyaryntseva
Putin Fetes Russian Religious Founder Prince Vladimir,,rferl.org,2015-30,2015-07-29,2015-07,29 Jul 15 00:42 UTC,en,1,neutral,3,10,13,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.rferl.org/content/putin-fetes-russian-religious-founder-prince-vladimir/27158184.html,0,0,0,0,0,1,0,0,0,Prague,Czech Republic,0,,vladimyr.lvr
Ukraine Adds Gerard Depardieu to 5-Year Blacklist,,novinite.com,2015-30,2015-07-29,2015-07,29 Jul 15 00:49 UTC,en,1,neutral,7,0,7,Other,Other,Інші теми  (аналітичні та репортажні),http://www.novinite.com/articles/170109/Ukraine Adds Gerard Depardieu to 5-Year Blacklist,0,0,0,0,0,1,1,0,0,Sofia,Bulgaria,0,,boyaryntseva
Lyon make offer for Younes Belhanda,,getfootballnewsfrance.com,2015-30,2015-07-29,2015-07,29 Jul 15 01:07 UTC,en,1,neutral,1,21,22,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.getfootballnewsfrance.com/2015/lyon-make-offer-for-younes-belhanda/,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,vladimyr.lvr
No Quick Fix for Ukraine With Limp Revival Next After ...,,bloomberg.com,2015-30,2015-07-29,2015-07,29 Jul 15 01:11 UTC,en,1,positive,1,37,38,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.bloomberg.com/news/articles/2015-07-29/no-quick-fix-for-ukraine-with-limp-revival-next-after-recession,0,0,0,0,0,1,1,0,0,New York,USA,0,,Ellen.Bedenko
Actor Depardieu banned from Ukraine for stance on Russia,,townhall.com,2015-30,2015-07-29,2015-07,29 Jul 15 01:13 UTC,en,1,neutral,0,2,2,Other,Other,Інші теми  (аналітичні та репортажні),http://townhall.com/news/politics-elections/2015/07/29/actor-depardieu-banned-from-ukraine-for-stance-on-russia-n2031770,0,0,0,0,0,1,1,0,0,North Carolina,USA,0,,boyaryntseva
Civilians Stuck in the Middle of Donbass Horror,,hrw.org,2015-30,2015-07-29,2015-07,29 Jul 15 01:20 UTC,en,1,neutral,698,210,908,Humanitarian crisis in Eastern Ukraine,Humanitarian crisis in Eastern Ukraine,Гуманітарна катастрофа на сході України,http://www.hrw.org/news/2015/07/29/civilians-stuck-middle-donbass-horror,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,lana.roxolana
Actor Depardieu banned from Ukraine for support of Russia,,themalaysianinsider.com,2015-30,2015-07-29,2015-07,29 Jul 15 01:21 UTC,en,1,neutral,1,21,22,Other,Other,Інші теми  (аналітичні та репортажні),http://www.themalaysianinsider.com/world/article/actor-depardieu-banned-from-ukraine-for-support-of-russia,0,0,0,0,0,1,1,0,0,Kuala Lumpur,Malaysia,0,,boyaryntseva
Shakhtar field midfielder despite threat of doping ban,,zeenews.india.com,2015-30,2015-07-29,2015-07,29 Jul 15 01:27 UTC,en,1,neutral,1,1,2,Sport,Sport,Спорт,http://zeenews.india.com/sports/football/shakhtar-field-midfielder-despite-threat-of-doping-ban_1638338.html,0,0,0,0,0,1,1,0,0,Noida,India,0,,boyaryntseva
