title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
The Pentagon's “2015 Strategy” for Ruling the World,,globalresearch.ca,2015-27,2015-07-05,2015-07,05 Jul 15 00:27 UTC,en,1,neutral,2413,214,2627,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.globalresearch.ca/the-pentagons-2015-strategy-for-ruling-the-world/5460404,0,0,0,0,0,1,0,1,1,Montreal,Canada,0,,gekkarp
Putin: US-Russian Relations Key for Solving Global Crises,,thephilanews.com,2015-27,2015-07-05,2015-07,05 Jul 15 00:51 UTC,en,1,neutral,2,3,5,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://thephilanews.com/putin-us-russian-relations-key-for-solving-global-crises-49328.htm,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,gekkarp
The dangerous gamble that could spark full-scale conflict in Ukraine,,scroll.in,2015-27,2015-07-05,2015-07,05 Jul 15 01:03 UTC,en,1,neutral,33,27,60,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://scroll.in/article/738611/the-dangerous-gamble-that-could-spark-full-scale-conflict-in-ukraine,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,gekkarp
World's worst economies by year-end,,dawn.com,2015-27,2015-07-05,2015-07,05 Jul 15 01:29 UTC,en,1,negative,7,1,8,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.dawn.com/news/1192473/worlds-worst-economies-by-year-end,0,0,0,0,0,1,1,0,0,Karachi,Pakistan,0,,boyaryntseva
Putin tells Obama dialogue key to global stability,,nation.com.pk,2015-27,2015-07-05,2015-07,05 Jul 15 01:45 UTC,en,1,neutral,1,4,5,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://nation.com.pk/international/05-Jul-2015/putin-tells-obama-dialogue-key-to-global-stability,0,0,0,0,0,1,0,0,0,Lahore,Pakistan,0,,gekkarp
Memorial service to be held for flight MH17 victims on July 11,,news.asiaone.com,2015-27,2015-07-05,2015-07,05 Jul 15 01:47 UTC,en,1,neutral,0,0,0,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://news.asiaone.com/news/malaysia/memorial-service-be-held-flight-mh17-victims-july-11,0,0,0,0,0,1,1,0,0,Singapore,Singapore,0,,Ira.Kolomiets
America's Losing Russia Strategy,,thedailybeast.com,2015-27,2015-07-05,2015-07,05 Jul 15 02:01 UTC,en,1,neutral,710,127,837,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.thedailybeast.com/articles/2015/07/05/america-s-losing-russia-strategy.html,0,0,0,0,0,1,0,0,0,New York,USA,0,,gekkarp
Pentagon leery of Russia's 'hybrid warfare',,triblive.com,2015-27,2015-07-05,2015-07,05 Jul 15 02:10 UTC,en,1,neutral,1,4,5,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://triblive.com/usworld/nation/8683654-74/warfare-hybrid-russia,0,0,0,0,0,1,1,0,0,Pittsburgh,USA,0,,Ira.Kolomiets
17 take oath of US citizenship during July Fourth ceremony at Bandelier,,santafenewmexican.com,2015-27,2015-07-05,2015-07,05 Jul 15 02:15 UTC,en,1,neutral,32,2,34,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.santafenewmexican.com/news/local_news/take-oath-of-u-s-citizenship-during-july-fourth-ceremony/article_d3b98598-aca1-56af-800b-89770a162e3b.html,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,gekkarp
PUTIN TALKS UNITY Russian president calls Obama for the 4th of July,,bayoubuzz.com,2015-27,2015-07-05,2015-07,05 Jul 15 02:53 UTC,en,1,neutral,0,0,0,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.bayoubuzz.com/politics/us-politics/item/928564-putin-talks-unity-russian-president-calls-obama-for-the-4th-of-july,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,Ira.Kolomiets
