title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Ukraine security forces search for nationalist group after clashes,,irishtimes.com,2015-28,2015-07-13,2015-07,13 Jul 15 00:02 UTC,en,1,neutral,5,12,17,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.irishtimes.com/news/world/europe/ukraine-security-forces-search-for-nationalist-group-after-clashes-1.2282605,0,0,0,0,0,1,1,0,0,Dublin,Ireland,0,,lana.roxolana
Far right group challenges Ukrainian government after shootout,,themalaysianinsider.com,2015-28,2015-07-13,2015-07,13 Jul 15 00:09 UTC,en,1,neutral,0,1,1,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.themalaysianinsider.com/world/article/far-right-group-challenges-ukrainian-government-after-shootout,0,0,0,0,0,1,1,0,0,Kuala Lumpur,Malaysia,0,,lana.roxolana
Police in Western Ukraine Clash With Paramilitary Group; 7 Are Hurt,,nytimes.com,2015-28,2015-07-13,2015-07,13 Jul 15 00:17 UTC,en,1,neutral,125,203,328,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.nytimes.com/2015/07/13/world/europe/police-in-western-ukraine-clash-with-paramilitary-group-7-are-hurt.html,0,0,0,0,0,1,1,0,0,New York,USA,0,,lana.roxolana
IMF Warns Proposed Legislation in Ukraine Threatens Reform,,nasdaq.com,2015-28,2015-07-13,2015-07,13 Jul 15 00:25 UTC,en,1,neutral,0,4,4,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.nasdaq.com/article/imf-warns-proposed-legislation-in-ukraine-threatens-reform-20150712-00034,0,0,0,0,0,1,1,0,0,,USA,0,,georgiy.mosiolik
Ukraine: Just a little historical perspective | Brookings ...,,brookings.edu,2015-28,2015-07-13,2015-07,13 Jul 15 01:00 UTC,en,1,neutral,222,102,324,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.brookings.edu/blogs/order-from-chaos/posts/2015/07/13-ukraine-historical-perspective-solana,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,lana.roxolana
30-member team heads for IAAF World Youth Championships,,jamaicaobserver.com,2015-28,2015-07-13,2015-07,13 Jul 15 01:00 UTC,en,1,neutral,30,0,30,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.jamaicaobserver.com/sport/athletics/30-member-team-heads-for-IAAF-World-Youth-Championships_19216735,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,kupchynska.i
Show of power: Right Sector nationalists ready to send '19 battalions' to Kiev,,rt.com,2015-28,2015-07-13,2015-07,13 Jul 15 01:12 UTC,en,1,neutral,2336,472,2808,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://rt.com/news/273253-ukraine-nationalist-battalions-threat/,0,0,0,0,0,1,1,1,1,Moscow,Russia,0,,lana.roxolana
Canada's embassy in Ukraine took in protesters during 2014 uprising,,cp24.com,2015-28,2015-07-13,2015-07,13 Jul 15 01:22 UTC,en,1,neutral,0,1,1,Ukrainian international relations,Ukrainian international relations,Українські міжнародні відносини,http://www.cp24.com/world/canada-s-embassy-in-ukraine-took-in-protesters-during-2014-uprising-1.2466103,0,0,0,0,0,1,1,0,0,Toronto,Canada,0,,lana.roxolana
Ukraine far-right group demands minister's ouster after deadly shootout,,japantimes.co.jp,2015-28,2015-07-13,2015-07,13 Jul 15 01:36 UTC,en,1,neutral,1,8,9,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.japantimes.co.jp/news/2015/07/13/world/ukraine-far-right-group-demands-ministers-ouster-deadly-shootout/,0,0,0,0,0,1,1,0,0,Tokyo,Japan,0,,lana.roxolana
"We Need to Get Tough with Russia, Now",,politico.com,2015-28,2015-07-13,2015-07,13 Jul 15 01:44 UTC,en,1,not determined,678,210,888,Other,Other,Інші теми  (аналітичні та репортажні),http://www.politico.com/magazine/story/2015/07/we-need-to-get-tough-with-russia-now-120002.html,0,0,0,0,0,1,1,0,0,Arlington,USA,0,,
West Now Resolved To Confront Moscow On Ukraine And Moscow Is Frightened,,eurasiareview.com,2015-28,2015-07-13,2015-07,13 Jul 15 01:52 UTC,en,1,neutral,99,18,117,Sanctions against Russia,Sanctions against Russia,Економічні санкції проти Росії,http://www.eurasiareview.com/12072015-west-now-resolved-to-confront-moscow-on-ukraine-and-moscow-is-frightened-illarionov-says-oped/,0,0,0,0,0,1,1,0,0,New York,USA,0,,kupchynska.i
