title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Maidan 2.0 in Kiev? | Global Research - Centre for Research on Globalization,,globalresearch.ca,2015-29,2015-07-23,2015-07,23 Jul 15 00:08 UTC,en,1,neutral,34,62,96,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.globalresearch.ca/maidan-2-0-in-kiev/5464001,0,0,0,0,0,1,1,1,1,Montreal,Canada,0,,Ira.Kolomiets
"Ukraine loses over 6 mln tonnes of grains per year, due to the deficit of modern harvesting machinery",Newseditor,finchannel.com,2015-29,2015-07-23,2015-07,23 Jul 15 00:15 UTC,en,1,negative,0,0,0,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.finchannel.com/index.php/world/ukraine/item/47156-ukraine-loses-over-6-mln-tonnes-of-grains-per-year-due-to-the-deficit-of-modern-harvesting-machinery,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,taraspuzhak
Kyiv interested in expanding program of joint military exercises - Poroshenko tells Breedlove,,en.interfax.com.ua,2015-29,2015-07-23,2015-07,23 Jul 15 00:18 UTC,en,1,neutral,1,3,4,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://en.interfax.com.ua/news/general/279601.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,Ira.Kolomiets
Russia’s Empty Gesture on the Downed Malaysian Jet - The ...,,nytimes.com,2015-29,2015-07-23,2015-07,23 Jul 15 00:22 UTC,en,1,neutral,322,108,430,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/2015/07/23/opinion/russias-empty-gesture-on-the-downed-malaysian-jet.html,0,0,0,0,0,1,1,0,0,New York,USA,0,,anonymous
Netanyahu promises to provide Ukrainians with opportunity to travel around Israel unhindered,,en.interfax.com.ua,2015-29,2015-07-23,2015-07,23 Jul 15 00:27 UTC,en,1,positive,2,5,7,Ukrainian international relations,Ukrainian international relations,Українські міжнародні відносини,http://en.interfax.com.ua/news/general/279603.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,boyaryntseva
Pentagon Prepares to Send Better Radar to Ukraine,,wsj.com,2015-29,2015-07-23,2015-07,23 Jul 15 00:28 UTC,en,1,neutral,1589,1,1590,Military/humanitarian aid for Ukraine,Military/humanitarian aid for Ukraine,Інші теми  (аналітичні та репортажні),http://www.wsj.com/articles/pentagon-prepares-to-send-better-radar-to-ukraine-1437596928?mod=trending_now_6,0,0,0,0,0,0,0,0,0,New York,USA,0,,boyaryntseva
Victoria Nuland Threatens Russia,,thepeoplesvoice.org,2015-29,2015-07-23,2015-07,23 Jul 15 00:35 UTC,en,1,neutral,0,2,2,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.thepeoplesvoice.org/TPV3/Voices.php/2015/07/23/victoria-nuland-threatens-russia,0,0,0,0,0,1,1,0,0,"Washington, DC",USA,0,,sergep
Obama Should Release MH-17 Intel,,counterpunch.org,2015-29,2015-07-23,2015-07,23 Jul 15 00:54 UTC,en,1,neutral,87,4,91,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.counterpunch.org/2015/07/23/obama-should-release-mh-17-intel/,0,0,0,0,0,1,1,0,0,Petrolia,USA,0,,boyaryntseva
Ukraine sends letter of intent to IMF Managing – finance ministry,,en.interfax.com.ua,2015-29,2015-07-23,2015-07,23 Jul 15 00:57 UTC,en,1,neutral,2,5,7,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://en.interfax.com.ua/news/general/279613.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,Ira.Kolomiets
Volunteer named governor in eastern Ukraine,,neurope.eu,2015-29,2015-07-23,2015-07,23 Jul 15 01:08 UTC,en,1,neutral,1,3,4,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.neurope.eu/article/volunteer-named-governor-in-eastern-ukraine/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
