title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Dutch Safety Board Has Draft Report Into MH17 Crash - The ...,,www.nytimes.com,2015-26,2015-07-01,2015-07,01 Jul 15 00:00 UTC,en,1,neutral,16,11,27,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/aponline/2015/07/01/world/europe/ap-eu-netherlands-ukraine-plane.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
"Poland to support, develop industrial, coal mining region",,philstar.com,2015-26,2015-07-01,2015-07,01 Jul 15 00:04 UTC,en,1,neutral,1,5,6,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.philstar.com/world/2015/07/01/1472075/poland-support-develop-industrial-coal-mining-region,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,biryna007
Talks Collapse; Ukraine Halts Purchases of Russian Gas,,voanews.com,2015-26,2015-07-01,2015-07,01 Jul 15 00:11 UTC,en,1,neutral,16,50,66,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.voanews.com/content/ukraine-suspends-purchases-russian-natural-gas/2843980.html,0,0,0,0,0,1,1,0,0,"Washington, DC",USA,0,,boyaryntseva
Fight for Freedom - US vs Donbass,,english.pravda.ru,2015-26,2015-07-01,2015-07,01 Jul 15 00:13 UTC,en,1,neutral,65,20,85,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://english.pravda.ru/opinion/columnists/01-07-2015/131167-fight_fore_freedom_usa_donbass-0/,0,0,0,0,0,1,1,0,0,Moscow,Russia,0,,boyaryntseva
MH17: Dutch Minister says last two victims' remains 'unlikely' to be found,,themalaymailonline.com,2015-26,2015-07-01,2015-07,01 Jul 15 00:51 UTC,en,1,negative,8,8,16,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.themalaymailonline.com/malaysia/article/mh17-dutch-minister-says-last-two-victims-remains-unlikely-to-be-found,0,0,0,0,0,1,1,0,0,Selangor,Malaysia,0,,boyaryntseva
Two MH17 victims' remains 'unlikely' to be found: Dutch minister,,theborneopost.com,2015-26,2015-07-01,2015-07,01 Jul 15 01:20 UTC,en,1,negative,22,7,29,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.theborneopost.com/2015/07/01/two-mh17-victims-remains-unlikely-to-be-found-dutch-minister/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
"MH17: Many possibilities, no definite suspects behind crash",,news.asiaone.com,2015-26,2015-07-01,2015-07,01 Jul 15 01:37 UTC,en,1,neutral,2,2,4,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://news.asiaone.com/news/malaysia/mh17-many-possibilities-no-definite-suspects-behind-crash,0,0,0,0,0,1,1,0,0,Singapore,Singapore,0,,inna1025
This Day in Jewish History / The father of Feldenkrais dies,,haaretz.com,2015-26,2015-07-01,2015-07,01 Jul 15 01:38 UTC,en,1,neutral,440,20,460,Other,Other,Інші теми  (аналітичні та репортажні),http://www.haaretz.com/news/features/this-day-in-jewish-history/.premium-1.663700,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,mpruska02
Rostec announces MiG engines repaired without Ukrainian parts,,janes.com,2015-26,2015-07-01,2015-07,01 Jul 15 01:57 UTC,en,1,neutral,2,6,8,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.janes.com/article/52653/rostec-announces-mig-engines-repaired-without-ukrainian-parts,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
Who Is Next to Lead America's Enemies List?,,alternet.org,2015-26,2015-07-01,2015-07,01 Jul 15 02:07 UTC,en,1,neutral,317,32,349,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.alternet.org/news-amp-politics/who-next-lead-americas-enemies-list,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,boyaryntseva
Turkey Media Roundup (June 30),,culture.jadaliyya.com,2015-26,2015-07-01,2015-07,01 Jul 15 02:23 UTC,en,1,neutral,2179,0,2179,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://culture.jadaliyya.com/pages/index/22024/turkey-media-roundup-(june-30),0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,biryna007
Turkey Media Roundup (June 30),,reviews.jadaliyya.com,2015-26,2015-07-01,2015-07,01 Jul 15 02:34 UTC,en,1,neutral,2179,0,2179,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://reviews.jadaliyya.com/pages/index/22024/turkey-media-roundup-(june-30),0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,biryna007
Russian Militants Blow Up Contemporary Art Installation in Ukraine,,hyperallergic.com,2015-26,2015-07-01,2015-07,01 Jul 15 03:03 UTC,en,1,neutral,270,37,307,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://hyperallergic.com/218581/russian-militants-blow-up-contemporary-art-installation-in-ukraine/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,biryna007
