title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Kyiv claims new attacks on Ukrainian positions in Donbas,,en.interfax.com.ua,2015-27,2015-07-06,2015-07,06 Jul 15 14:58 UTC,en,1,neutral,3,5,8,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://en.interfax.com.ua/news/general/276206.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
Gazprom increases gas transit volumes via Ukraine to EU by 20%,,uatoday.tv,2015-27,2015-07-06,2015-07,06 Jul 15 15:01 UTC,en,1,neutral,4,13,17,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://uatoday.tv/business/russian-gas-to-europe-451235.html,0,0,0,0,0,1,1,1,0,Kyiv,Ukraine,1,,Ira.Kolomiets
These are the 5 Russian generals already fighting the new Cold War,,wearethemighty.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:02 UTC,en,1,neutral,937,10,947,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.wearethemighty.com/russians-ukraine-cold-war-2015-07,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,boyaryntseva
Ukraine to create stabilization energy fund worth $1 billion,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:05 UTC,en,1,neutral,0,0,0,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,https://www.kyivpost.com/content/ukraine/ukraine-to-create-stabilization-energy-fund-worth-1-billion-392809.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
Ukraine launches Western-style police force to set a marker for reform,,thestar.com.my,2015-27,2015-07-06,2015-07,06 Jul 15 15:05 UTC,en,1,neutral,20,29,49,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.thestar.com.my/News/World/2015/07/06/Ukraine-launches-Westernstyle-police-force-to-set-a-marker-for-reform/,0,0,0,0,0,1,1,0,0,Petaling Jaya,Malaysia,0,,georgiy.mosiolik
Ukraine launches Western-style police force to set a marker for reform,,channelnewsasia.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:10 UTC,en,1,neutral,2,13,15,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.channelnewsasia.com/news/world/ukraine-launches-western/1965114.html,0,0,0,0,0,1,1,0,0,Singapore,Singapore,0,,georgiy.mosiolik
Gazprom's Halts Pipe Deliveries to Turkish Stream After Expansion Freeze,,themoscowtimes.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:11 UTC,en,1,not determined,0,6,6,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.themoscowtimes.com/business/article/gazproms-halts-pipe-deliveries-to-turkish-stream-after-expansion-freeze/525147.html,0,0,0,0,0,1,0,0,0,Moscow,Russia,0,,
Ukrainian Inflation Slows Further in June as Hryvnia Stabilizes,,bloomberg.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:15 UTC,en,1,neutral,5,7,12,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.bloomberg.com/news/articles/2015-07-06/ukrainian-inflation-slows-further-in-june-as-hryvnia-stabilizes,0,0,0,0,0,1,1,0,0,New York,USA,0,,georgiy.mosiolik
Financial Times: Great Game echoes in summit halls for Putin's pursuit of,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:16 UTC,en,1,not determined,1,0,1,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://kyivpost.com/content/russia-and-former-soviet-union/financial-times-great-game-echoes-in-summit-halls-for-putins-pursuit-of-china-ties-392810.html,0,0,0,0,0,1,0,0,0,Kyiv,Ukraine,1,,
Ukraine's ferrous metal export down 41.2 percent in value in H1,,steelorbis.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:17 UTC,en,1,neutral,0,1,1,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.steelorbis.com/steel-news/latest-news/ukraines_ferrous_metal_export_down_412_percent_in_value_in_h1_-889328.htm,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,georgiy.mosiolik
