title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Calls grow for UN court on MH17 despite Russian opposition,,irishtimes.com,2015-26,2015-07-04,2015-07,04 Jul 15 00:03 UTC,en,1,neutral,36,47,83,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.irishtimes.com/news/world/europe/calls-grow-for-un-court-on-mh17-despite-russian-opposition-1.2272930,0,0,0,0,0,1,1,0,0,Dublin,Ireland,0,,chornopys
Hot run/shoot wins Ukraine's Tymoshchenko Modern Pentathlon World,,insidethegames.biz,2015-26,2015-07-04,2015-07,04 Jul 15 00:08 UTC,en,1,neutral,1,5,6,Sport,Sport,Спорт,http://www.insidethegames.biz/articles/1028443/hot-runshoot-wins-ukraines-tymoshchenko-modern-pentathlon-world-championships-title-and-rio-2016-spot,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,TDzhula106
The US and Russia can work together for Space Travel – Successful Russian,,esbtrib.com,2015-26,2015-07-04,2015-07,04 Jul 15 00:10 UTC,en,1,not determined,1,7,8,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.esbtrib.com/2015/07/03/20265/the-us-and-russia-can-work-together-for-space-travel-successful-russian-launch-proof-of-that/,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,
'Hybrid warfare' tests Pentagon,,expressnews.com,2015-26,2015-07-04,2015-07,04 Jul 15 00:12 UTC,en,1,neutral,1,0,1,Other,Other,Інші теми  (аналітичні та репортажні),http://www.expressnews.com/news/us-world/article/Hybrid-warfare-tests-Pentagon-6365654.php,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,chornopys
"Ukrainian radicals stage massive march, call for military action in E. Ukraine",,rt.com,2015-26,2015-07-04,2015-07,04 Jul 15 00:27 UTC,en,1,neutral,244,224,468,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://rt.com/news/271585-ukraine-right-war-protest/,0,0,0,0,0,1,1,1,1,Moscow,Russia,0,,chornopys
Malaysia submitting resolution to United Nations over flight shot down over,,celebcafe.org,2015-26,2015-07-04,2015-07,04 Jul 15 00:43 UTC,en,1,neutral,0,1,1,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://celebcafe.org/malaysia-submitting-resolution-to-united-nations-over/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,chornopys
Chinese airstrip on man-made Spratly island nearly finished,,thrasherbacker.com,2015-26,2015-07-04,2015-07,04 Jul 15 01:02 UTC,en,1,not determined,25,1,26,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://thrasherbacker.com/5668-chinese-airstrip-on-man-made-spratly-island-nearly-finished/014620/,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,
Millions in military gear goes to scrap heap instead of Ukraine,,ottawacitizen.com,2015-26,2015-07-04,2015-07,04 Jul 15 01:26 UTC,en,1,neutral,1340,178,1518,Military/humanitarian aid for Ukraine,Military/humanitarian aid for Ukraine,Інші теми  (аналітичні та репортажні),http://ottawacitizen.com/news/politics/millions-in-military-gear-goes-to-scrap-heap-instead-of-ukraine,0,0,0,0,0,0,0,0,0,Unknown,Unknown,0,,TDzhula106
Tottenham fans react on Twitter as Konoplyanka seals Sevilla switch,,hitc.com,2015-26,2015-07-04,2015-07,04 Jul 15 01:29 UTC,en,1,neutral,12,4,16,Sport,Sport,Спорт,http://www.hitc.com/en-gb/2015/07/03/tottenham-fans-react-on-twitter-as-konoplyaka-seals-sevilla-swit/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,chornopys
Malaysia wants a tribunal for Malaysia Airlines crash,,tbo.com,2015-26,2015-07-04,2015-07,04 Jul 15 01:39 UTC,en,1,neutral,2,2,4,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://tbo.com/ap/malaysia-wants-a-tribunal-for-malaysia-airlines-crash-20150703/,0,0,0,0,0,1,1,0,0,Tampa,USA,0,,chornopys
West's economic sanctions unable to split Russian society: Putin,,presstv.ir,2015-26,2015-07-04,2015-07,04 Jul 15 01:48 UTC,en,1,neutral,4,4,8,Sanctions against Russia,Sanctions against Russia,Економічні санкції проти Росії,http://www.presstv.ir/Detail/2015/07/04/418665/Russia-Putin-Ukraine-economic-sanctions-Moscow,0,0,0,0,0,1,1,1,1,Tehran,Iran,0,,TDzhula106
The 'new' type of war that finally has the Pentagon's attention,,washingtonpost.com,2015-26,2015-07-04,2015-07,04 Jul 15 01:52 UTC,en,1,not determined,4184,3,4187,Other,Other,Інші теми  (аналітичні та репортажні),https://www.washingtonpost.com/world/national-security/the-new-type-of-war-that-finally-has-the-pentagons-attention/2015/07/03/b5e3fcda-20be-11e5-84d5-eb37ee8eaa61_story.html?tid=pm_world_pop_b,0,0,0,0,0,1,1,0,0,"Washington, DC",USA,0,,
Russia warns of sabotage of Minsk agreements,,business-standard.com,2015-26,2015-07-04,2015-07,04 Jul 15 01:54 UTC,en,1,neutral,1,1,2,Peace talks,Peace talks,Мирні переговори,http://www.business-standard.com/article/news-ians/russia-warns-of-sabotage-of-minsk-agreements-115070400095_1.html,0,0,0,0,0,1,1,0,0,Nehru House,India,0,,chornopys
Is the U.S. Training Neo-Nazis in Ukraine?,,thedailybeast.com,2015-26,2015-07-04,2015-07,04 Jul 15 02:00 UTC,en,1,neutral,550,139,689,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.thedailybeast.com/articles/2015/07/04/is-the-u-s-training-neo-nazis-in-ukraine.html,0,0,0,0,0,1,1,0,0,New York,USA,0,,TDzhula106
Ukraine LGBT Activists Worry About Future,,voanews.com,2015-26,2015-07-04,2015-07,04 Jul 15 02:07 UTC,en,1,negative,39,86,125,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.voanews.com/content/ukraine-lgbt-activists-worry-about-future/2848680.html,0,0,0,0,0,1,1,0,0,"Washington, DC",USA,0,,chornopys
Malaysia pushes UNSC for flight MH17 crash tribunal,,nation.com.pk,2015-26,2015-07-04,2015-07,04 Jul 15 02:09 UTC,en,1,neutral,2,11,13,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://nation.com.pk/international/04-Jul-2015/malaysia-pushes-unsc-for-flight-mh17-crash-tribunal,0,0,0,0,0,1,1,0,0,Lahore,Pakistan,0,,chornopys
Russia warns of sabotage of Minsk agreements,,news.webindia123.com,2015-26,2015-07-04,2015-07,04 Jul 15 02:25 UTC,en,1,neutral,0,0,0,Peace talks,Peace talks,Мирні переговори,http://news.webindia123.com/news/Articles/World/20150704/2634206.html,0,0,0,0,0,1,1,0,0,Kochi,India,0,,chornopys
Russia warns of sabotage of Minsk agreements,,economylead.com,2015-26,2015-07-04,2015-07,04 Jul 15 02:55 UTC,en,1,neutral,0,3,3,Peace talks,Peace talks,Мирні переговори,http://www.economylead.com/international/russia-warns-of-sabotage-of-minsk-agreements-80243,0,0,0,0,0,1,1,0,0,Delhi,India,0,,chornopys
"Sometimes you win, sometimes Ukraine",,irishtimes.com,2015-26,2015-07-04,2015-07,04 Jul 15 03:02 UTC,en,1,neutral,5,1,6,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.irishtimes.com/business/economy/sometimes-you-win-sometimes-ukraine-1.2273035,0,0,0,0,0,1,1,0,0,Dublin,Ireland,0,,TDzhula106
Russia Escapes Downgrade But Fitch Says Worsening Tensions Hurt Economy,,rferl.org,2015-26,2015-07-04,2015-07,04 Jul 15 03:06 UTC,en,1,neutral,46,36,82,Sanctions against Russia,Sanctions against Russia,Економічні санкції проти Росії,http://www.rferl.org/content/russia-escapes-fitch-downgrade-tensions-worsen-economy/27109254.html,0,0,0,0,0,1,1,0,0,Prague,Czech Republic,0,,TDzhula106
Dutch seek UN tribunal to investigate downing of MH17,,freemalaysiatoday.com,2015-26,2015-07-04,2015-07,04 Jul 15 03:15 UTC,en,1,neutral,173,4,177,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.freemalaysiatoday.com/category/world/2015/07/04/dutch-seek-un-tribunal-to-investigate-downing-of-mh17/,0,0,0,0,0,1,1,0,0,Petaling Jaya,Malaysia,0,,chornopys
Ukraine crisis: Rally in Kiev urges war on eastern rebels,,bbc.co.uk,2015-26,2015-07-04,2015-07,04 Jul 15 03:39 UTC,en,1,neutral,800,707,1507,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.bbc.co.uk/news/world-europe-33392991,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,chornopys
Kiev in violation of heavy weaponry clause in E. Ukraine - OSCE,,rt.com,2015-26,2015-07-04,2015-07,04 Jul 15 03:42 UTC,en,1,negative,2984,314,3298,Peace talks,Peace talks,Мирні переговори,http://rt.com/news/271606-kiev-osce-violation-weapons/,0,0,0,0,0,1,1,1,1,Moscow,Russia,0,,chornopys
Ukraine rebels withdraw from key frontline village,,rappler.com,2015-26,2015-07-04,2015-07,04 Jul 15 03:43 UTC,en,1,neutral,142,7,149,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.rappler.com/world/regions/europe/98358-ukraine-rebels-withdraw-key-frontline-village,0,0,0,0,0,1,1,0,0,Pasig City,Philippines,0,,TDzhula106
Ukraine crisis: Rally in Kiev urges war on eastern rebels,,bbc.com,2015-26,2015-07-04,2015-07,04 Jul 15 03:50 UTC,en,1,neutral,488,105,593,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.bbc.com/news/world-europe-33392991,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,chornopys
Ukraine's Sluggish Action On Reforms Delayed Receipt Of Loans,,rferl.org,2015-26,2015-07-04,2015-07,04 Jul 15 03:54 UTC,en,1,neutral,52,22,74,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.rferl.org/content/ukraine-sluggish-reforms-delayed-loan-receipt/27109267.html,0,0,0,0,0,1,1,0,0,Prague,Czech Republic,0,,TDzhula106
Ukrainian Govt. Acknowledges Some of Its Leaders Are Nazis,,rinf.com,2015-26,2015-07-04,2015-07,04 Jul 15 04:21 UTC,en,1,negative,89,27,116,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://rinf.com/alt-news/editorials/ukrainian-govt-acknowledges-some-of-its-leaders-are-nazis/,0,0,0,0,0,1,1,0,0,Lancaster,United Kingdom,0,attention,chornopys
Unwanted toys from Calgary Stampede midway will be donated to needy,,calgarysun.com,2015-26,2015-07-04,2015-07,04 Jul 15 04:48 UTC,en,1,neutral,957,5,962,Humanitarian crisis in Eastern Ukraine,Humanitarian crisis in Eastern Ukraine,Гуманітарна катастрофа на сході України,http://www.calgarysun.com/2015/07/04/unwanted-toys-from-calgary-stampede-midway-will-be-donated-to-needy-children-in-the-ukraine-thanks-to-local-organization,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,chornopys
Root of tattered US-Russia ties dates back decades: analysts,,japantimes.co.jp,2015-26,2015-07-04,2015-07,04 Jul 15 04:48 UTC,en,1,not determined,0,4,4,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.japantimes.co.jp/news/2015/07/04/world/politics-diplomacy-world/root-tattered-u-s-russia-ties-dates-back-decades-analysts/,0,0,0,0,0,1,0,0,0,Tokyo,Japan,0,,
Ukraine LGBT Activists Worry About Future,,tolerance.ca,2015-26,2015-07-04,2015-07,04 Jul 15 04:50 UTC,en,1,negative,0,0,0,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.tolerance.ca/Article.aspx?ID=268813&L=en,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,chornopys
"Direct dialogue between Kiev, Donetsk and Lugansk is the key to everything",,cyprus-mail.com,2015-26,2015-07-04,2015-07,04 Jul 15 05:02 UTC,en,1,negative,3,6,9,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://cyprus-mail.com/2015/07/04/direct-dialogue-between-kiev-donetsk-and-lugansk-is-the-key-to-everything/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,attention,chornopys
"West gives Putin black spot for war in Ukraine, Russian expert warns",,zik.com.ua,2015-26,2015-07-04,2015-07,04 Jul 15 05:08 UTC,en,1,not determined,0,0,0,Other,Other,Інші теми  (аналітичні та репортажні),http://zik.com.ua/en/news/2015/07/04/west_gives_putin_black_spot_for_war_in_ukraine_russian_expert_warns_604540,0,0,0,0,0,1,1,0,0,Lviv,Ukraine,0,,
"West gives Putin black spot for war in Ukraine, Russian expert warns",,zik.ua,2015-26,2015-07-04,2015-07,04 Jul 15 05:08 UTC,en,1,neutral,7,0,7,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://zik.ua/en/news/2015/07/04/west_gives_putin_black_spot_for_war_in_ukraine_russian_expert_warns_604540,0,0,0,0,0,1,1,0,0,Lviv,Ukraine,0,,chornopys
