title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Obama offers some praise of Putin,,politico.com,2015-28,2015-07-15,2015-07,15 Jul 15 00:00 UTC,en,1,neutral,946,106,1052,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.politico.com/story/2015/07/obama-offers-praise-of-putin-120127.html?hp=l2_4,0,0,0,0,0,1,0,0,0,Arlington,USA,0,,boyaryntseva
Australia Urges UN To Support MH17 Tribunal,,news.airwise.com,2015-28,2015-07-15,2015-07,15 Jul 15 00:06 UTC,en,1,neutral,0,4,4,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://news.airwise.com/story/view/1436918332.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,lana.roxolana
Ukraine clashes raise questions over Right Sector militia,,bbc.co.uk,2015-28,2015-07-15,2015-07,15 Jul 15 00:14 UTC,en,1,neutral,100,260,360,Emergencies in Ukraine,Emergencies in Ukraine,Надзвичайні ситуації,http://www.bbc.co.uk/news/world-europe-33523869,0,0,0,0,0,0,0,0,0,London,United Kingdom,0,,boyaryntseva
"Kyiv protests decision to forward Savchenko case to court, insists on her liberation",,kyivpost.com,2015-28,2015-07-15,2015-07,15 Jul 15 00:18 UTC,en,1,neutral,0,6,6,Prisoners of war,Prisoners of war,Bійськовополонені,http://www.kyivpost.com/content/ukraine/kyiv-protests-decision-to-forward-savchenko-case-to-court-insists-on-her-liberation-393468.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,boyaryntseva
Up to 1.3 mln in parched Ukraine face water crisis- UNICEF,,trust.org,2015-28,2015-07-15,2015-07,15 Jul 15 00:32 UTC,en,1,neutral,53,1,54,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.trust.org/item/20150714150005-tgw5b/?source=jtOtherNews3,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,lana.roxolana
Canada and Ukraine reveal 'milestone' free trade agreement - IBTimes UK,,ibtimes.co.uk,2015-28,2015-07-15,2015-07,15 Jul 15 00:37 UTC,en,1,neutral,2,14,16,Ukrainian international relations,Ukrainian international relations,Українські міжнародні відносини,http://www.ibtimes.co.uk/canada-ukraine-reveal-milestone-free-trade-agreement-1510870,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
Barcelona v Sevilla: Tbilisi UEFA Super Cup facts,,uefa.com,2015-28,2015-07-15,2015-07,15 Jul 15 00:40 UTC,en,1,not determined,8,18,26,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.uefa.com/uefasupercup/news/newsid=2263983.html,0,0,0,0,0,1,0,0,0,Nyon,Switzerland,0,,
Up to 1.3 mln in parched Ukraine face water crisis- UNICEF,,one.trust.org,2015-28,2015-07-15,2015-07,15 Jul 15 00:48 UTC,en,1,neutral,53,0,53,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://one.trust.org/item/20150714150005-tgw5b/?source=jtOtherNews3,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,lana.roxolana
Ukraine: Blasts Target Police Stations,,nytimes.com,2015-28,2015-07-15,2015-07,15 Jul 15 01:37 UTC,en,1,neutral,51,108,159,Emergencies in Ukraine,Emergencies in Ukraine,Надзвичайні ситуації,http://www.nytimes.com/2015/07/15/world/europe/ukraine-blasts-target-police-stations.html,0,0,0,0,0,0,0,0,0,New York,USA,0,,boyaryntseva
"Ukraine PM vows to fight corruption, stick to economic reforms | CTV News",,ctvnews.ca,2015-28,2015-07-15,2015-07,15 Jul 15 01:46 UTC,en,1,neutral,47,3,50,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.ctvnews.ca/politics/ukraine-pm-vows-to-fight-corruption-stick-to-economic-reforms-1.2469687,0,0,0,0,0,1,1,0,0,Toronto,Canada,0,,boyaryntseva
USA considers plans to train Ukrainian army troops,,sentinelrepublic.com,2015-28,2015-07-15,2015-07,15 Jul 15 01:46 UTC,en,1,neutral,13,0,13,Military/humanitarian aid for Ukraine,Military/humanitarian aid for Ukraine,Інші теми  (аналітичні та репортажні),http://sentinelrepublic.com/usa-considers-plans-to-train-ukrainian-army-troops/30524/,0,0,0,0,0,0,0,0,0,Unknown,Unknown,0,,boyaryntseva
UN urged to set up tribunal to try those responsible for downing of MH17,,news.asiaone.com,2015-28,2015-07-15,2015-07,15 Jul 15 01:54 UTC,en,1,neutral,0,3,3,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://news.asiaone.com/news/world/un-urged-set-tribunal-try-those-responsible-downing-mh17,0,0,0,0,0,1,1,0,0,Singapore,Singapore,0,,lana.roxolana
"Ukraine PM vows to fight corruption, thanks Canada for support | CTV News",,ctvnews.ca,2015-28,2015-07-15,2015-07,15 Jul 15 02:01 UTC,en,1,neutral,47,22,69,Ukrainian international relations,Ukrainian international relations,Українські міжнародні відносини,http://www.ctvnews.ca/politics/ukraine-pm-vows-to-fight-corruption-thanks-canada-for-support-1.2469687,0,0,0,0,0,1,1,0,0,Toronto,Canada,0,,boyaryntseva
