title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Your Friday Briefing - The New York Times,ADEEL HASSAN,www.nytimes.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:00 UTC,en,1,neutral,44,652,696,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/2015/07/17/nytnow/iran-tennessee-shooting-and-mh17-anniversary.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
"Dutch, Ukrainians, Australians Mark Year Since MH17 ...",,www.nytimes.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:00 UTC,en,1,neutral,30,97,127,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/aponline/2015/07/17/world/europe/ap-eu-ukraine-mh17-anniversary.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
Breaking News | Hong Kong student leader pleads not guilty,,www.nytimes.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:00 UTC,en,1,neutral,1,0,1,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.nytimes.com/video/multimedia/100000003806379/hong-kong-student-leader-pleads-not-guilty.html?playlistId=1194811622186,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,anonymous
New video shows rebels shooting down Malaysian Airlines flight MH17,,indiatoday.intoday.in,2015-28,2015-07-17,2015-07,17 Jul 15 00:02 UTC,en,1,neutral,0,0,0,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://indiatoday.intoday.in/story/malaysian-airlines-crash-video-mh17/1/452053.html,0,0,0,0,0,1,1,0,0,Noida,India,0,,lana.roxolana
Ukraine marks Malaysian plane crash anniversary,,usatoday.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:07 UTC,en,1,neutral,44,173,217,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.usatoday.com/story/news/world/2015/07/17/ukraine-marks-malaysian-plane-crash-anniversary/30282031/,0,0,0,0,0,1,1,0,0,Tysons Corner,USA,0,,biryna007
New images of MH17… dead passengers’ bags being ransacked [video],,emirates247.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:10 UTC,en,1,neutral,5,2,7,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.emirates247.com/news/new-images-of-mh17-dead-passengers-bags-being-ransacked-video-2015-07-17-1.597115,0,0,0,0,0,1,1,0,0,Dubai,UAE,0,,biryna007
First Lawsuit Against Barber Foods for Salmonella From Chicken Kiev Filed by,,businesswire.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:11 UTC,en,1,neutral,0,4,4,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.businesswire.com/news/home/20150716006656/en/Lawsuit-Barber-Foods-Salmonella-Chicken-Kiev-Filed,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,biryna007
Malaysia Airlines MH17 crash in Ukraine : What happened and what's next,,straitstimes.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:13 UTC,en,1,neutral,2,19,21,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.straitstimes.com/world/europe/malaysia-airlines-mh17-crash-in-ukraine-what-happened-and-whats-next,0,0,0,0,0,1,1,0,0,Singapore,Singapore,0,,biryna007
First Lawsuit Against Barber Foods for Salmonella From Chicken Kiev Filed by,,digitaljournal.com,2015-28,2015-07-17,2015-07,17 Jul 15 00:14 UTC,en,1,neutral,0,0,0,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.digitaljournal.com/pr/2615598,0,0,0,0,0,1,0,0,0,Toronto,Canada,0,,biryna007
Australia Holds Memorial Service For MH17 Victims,,rferl.org,2015-28,2015-07-17,2015-07,17 Jul 15 00:16 UTC,en,1,neutral,2,42,44,TOPIC OF THE DAY,TOPIC OF THE DAY,Тема дня,http://www.rferl.org/content/australia/27133688.html,0,0,0,0,0,1,1,0,0,Prague,Czech Republic,0,,biryna007
