title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
"A Tale of Two Cities: Ukraine Wins One Back, But War Remains Close",,dailysignal.com,2015-27,2015-07-07,2015-07,07 Jul 15 01:08 UTC,en,1,neutral,437,278,715,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://dailysignal.com/2015/07/06/a-tale-of-two-cities-ukraine-wins-one-back-but-war-remains-close/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,There are actually two main topics: fighting & humanitarian crisis,nata.smyhora
Letter to Ukraine's prime minister supposedly written by Illinois Sen. Dick,,nydailynews.com,2015-27,2015-07-07,2015-07,07 Jul 15 01:18 UTC,en,1,neutral,16,100,116,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.nydailynews.com/news/politics/dick-durbin-letter-ukraine-pm-russian-forgery-article-1.2283423,0,0,0,0,0,1,1,0,0,New York,USA,0,,boyaryntseva
"Ukraine Governor: US to Pay Employee Salaries, Train Police",,telesurtv.net,2015-27,2015-07-07,2015-07,07 Jul 15 03:57 UTC,en,1,neutral,25,15,40,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.telesurtv.net/english/news/Ukraine-Governor-U.S.-to-Pay-Employee-Salaries-Train-Police-20150706-0022.html,0,0,0,0,0,1,1,0,0,Caracas,Venezuela,0,,boyaryntseva
China and Russia: the world's new superpower axis?,,theguardian.com,2015-27,2015-07-07,2015-07,07 Jul 15 04:00 UTC,en,1,not determined,9080,364,9444,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.theguardian.com/world/2015/jul/07/china-russia-superpower-axis,0,0,0,0,0,1,0,0,0,London,United Kingdom,0,,
Duma Approves Construction of $4 Billion Kerch Bridge to Crimea | Business | The Moscow Times,,themoscowtimes.com,2015-27,2015-07-07,2015-07,07 Jul 15 04:10 UTC,en,1,neutral,600,29,629,Crimea,Crimea,Крим,http://www.themoscowtimes.com/business/article/duma-approves-construction-of-4-billion-kerch-bridge-to-crimea/525168.html,0,0,0,0,0,1,1,0,0,Moscow,Russia,0,,boyaryntseva
"Ukrainian PM, US Senator Targeted In Hoax Letter",,rferl.org,2015-27,2015-07-07,2015-07,07 Jul 15 04:13 UTC,en,1,neutral,14,24,38,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.rferl.org/content/ukraine-pm-us-senator-hoax-letter-russian-journalists/27113646.html,0,0,0,0,0,1,1,0,0,Prague,Czech Republic,0,,boyaryntseva
Anders Aslund: Putin's war on Ukraine is more important than Greek debt,,kyivpost.com,2015-27,2015-07-07,2015-07,07 Jul 15 04:13 UTC,en,1,neutral,0,6,6,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.kyivpost.com/opinion/op-ed/anders-aslund-putins-war-on-ukraine-is-more-important-than-greek-debt-2-392834.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,gekkarp
German government funds holocaust memorials in Ukraine,,kyivpost.com,2015-27,2015-07-07,2015-07,07 Jul 15 04:16 UTC,en,1,neutral,6,1,7,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.kyivpost.com/content/ukraine-abroad/anders-aslund-putins-war-on-ukraine-is-more-important-than-greek-debt-2-392834.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,gekkarp
Newsweek: German government funds holocaust memorials in Ukraine,,kyivpost.com,2015-27,2015-07-07,2015-07,07 Jul 15 04:16 UTC,en,1,neutral,0,2,2,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,https://www.kyivpost.com/content/ukraine-abroad/anders-aslund-putins-war-on-ukraine-is-more-important-than-greek-debt-2-392834.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,gekkarp
"Radio Free Europe/Radio Liberty: Yatsenyuk, US senator targeted in hoax letter",,kyivpost.com,2015-27,2015-07-07,2015-07,07 Jul 15 04:26 UTC,en,1,neutral,1,5,6,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.kyivpost.com/content/ukraine-abroad/radio-free-europeradio-liberty-yatsenyuk-us-senator-targeted-in-hoax-letter-392835.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,boyaryntseva
The Guardian: China and Russia - the world's new superpower axis?,,kyivpost.com,2015-27,2015-07-07,2015-07,07 Jul 15 04:35 UTC,en,1,neutral,5,6,11,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.kyivpost.com/content/russia-and-former-soviet-union/the-guardian-china-and-russia-the-worlds-new-superpower-axis-392836.html,0,0,0,0,0,1,0,0,0,Kyiv,Ukraine,1,,gekkarp
HCM City hosts second int'l belly dance festival,,vietnamnews.vn,2015-27,2015-07-07,2015-07,07 Jul 15 04:43 UTC,en,1,neutral,1,4,5,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://vietnamnews.vn/life-style/272715/hcm-city-hosts-second-intl-belly-dance-festival.html,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,gekkarp
Jackson Diehl: Will the West let Ukraine die?,,commercialappeal.com,2015-27,2015-07-07,2015-07,07 Jul 15 05:04 UTC,en,1,neutral,3,0,3,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.commercialappeal.com/opinion/national-and-world-commentary/jackson-diehl-will-the-west-let-ukraine-die_28363985,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,gekkarp
